TypeSectionCode ;code ;DescriptionInEnglish ;DescriptionInRussian ;NameInEngish ;NameInRussian ;id
A ;ADM1 ;a primary administrative division of a country, such as a state in the United States ;первичная административная единица страны, такая как штат в США ;first-order administrative division ;административное деление первого порядка ;7d50032d-1b70-4166-8136-832e6a9640d2
A ;ADM1H ;a former first-order administrative division ;бывшая административная единица первого порядка ;historical first-order administrative division ;историческое административное деление первого порядка ;543b64f9-8b21-48b5-8f2f-19d790394357
A ;ADM2 ;a subdivision of a first-order administrative division ;подразделение административной единицы первого порядка ;second-order administrative division ;административное деление второго порядка ;04a649c8-147e-42ed-a5e5-40da7beba0ea
A ;ADM2H ;a former second-order administrative division ;бывшая административная единица второго порядка ;historical second-order administrative division ;историческое административное деление второго порядка ;c9079e34-0324-420a-b058-838d1660dd50
A ;ADM3 ;a subdivision of a second-order administrative division ;подразделение административной единицы второго порядка ;third-order administrative division ;административное деление третьего порядка ;318de4e8-c279-4307-9fb1-f42c97255d37
A ;ADM3H ;a former third-order administrative division ;бывшая административная единица третьего порядка ;historical third-order administrative division ;историческое административное деление третьего порядка ;7107f73a-edd3-443c-9088-c39429c412ba
A ;ADM4 ;a subdivision of a third-order administrative division ;подразделение административной единицы третьего порядка ;fourth-order administrative division ;административное деление четвертого порядка ;e7da6874-8183-47a2-a4ef-6b978fe1090b
A ;ADM4H ;a former fourth-order administrative division ;бывшая административная единица четвертого порядка ;historical fourth-order administrative division ;историческое административное деление четвертого порядка ;a955f56d-5adb-43f5-86aa-7bf33b730ce9
A ;ADM5 ;a subdivision of a fourth-order administrative division ;административно-территориальная единица четвертого порядка ;fifth-order administrative division ;административное деление пятого порядка ;011fc063-de40-4ef3-9567-473294b413f0
A ;ADM5H ;a former fifth-order administrative division ;бывшая административная единица пятого порядка ;historical fifth-order administrative division ;историческое административное деление пятого порядка ;2c32dc49-402a-4c63-b5fb-1b2825bb2a50
A ;ADMD ;an administrative division of a country, undifferentiated as to administrative level ;административное деление страны, не дифференцированное по административному уровню ;administrative division ;Административный Отдел ;32a41f7e-949a-4874-8ea8-cf8c32c03692
A ;ADMDH ;a former administrative division of a political entity, undifferentiated as to administrative level ;бывшая административная единица политического образования, недифференцированная по административному уровню ;historical administrative division ;историческое административное деление ;999e4f89-a378-4878-b084-dd136e5105ae
A ;LTER ;a tract of land leased to another country, usually for military installations ;участок земли, сданный в аренду другой стране, обычно для военных объектов ;leased area ;арендованная площадь ;10d71874-48f1-4765-a0aa-e86110dcf9f7
A ;PCL ;" " ;" " ;political entity ;политическая единица ;094d4032-89d1-4590-bbb2-d1737d266568
A ;PCLD ;" " ;" " ;dependent political entity ;зависимое политическое образование ;e07c78aa-605b-4128-9927-4c56e98a2878
A ;PCLF ;" " ;" " ;freely associated state ;свободно ассоциированное государство ;f32e74aa-315f-4ac1-8bf8-4b01cfd11f9a
A ;PCLH ;a former political entity ;бывшая политическая организация ;historical political entity ;историческое политическое образование ;e00a6ec0-8c7e-43d9-bdff-c5fafed6da5e
A ;PCLI ;" " ;" " ;independent political entity ;независимое политическое образование ;707e1b3a-af74-4717-932b-23437dfd821c
A ;PCLIX ;" " ;" " ;section of independent political entity ;часть независимого политического образования ;7526b763-5e32-4ee1-bcac-cce9d891b10b
A ;PCLS ;" " ;" " ;semi-independent political entity ;полунезависимая политическая единица ;8a1e9037-3b55-4dbd-ab42-101068e6f5e1
A ;PRSH ;an ecclesiastical district0 ;церковный округ0 ;parish ;приход ;931ec285-cf96-43cb-bfd5-7259de511985
A ;TERR ;" " ;" " ;territory ;территория ;b8e0bb60-05c5-4b14-ac80-b2943b9e4f81
A ;ZN ;" " ;" " ;zone ;зона ;9edfa690-f30d-4500-b4a5-f3e6b6fadb96
A ;ZNB ;a zone recognized as a buffer between two nations in which military presence is minimal or absent ;зона, признанная буфером между двумя странами, в которой военное присутствие минимально или отсутствует ;buffer zone ;буферная зона ;a7c9a9f4-b19d-4c6d-8f37-bf5697663027
H ;AIRS ;a place on a waterbody where floatplanes land and take off ;место на водоеме, где приземляются и взлетают гидросамолеты ;seaplane landing area ;площадка для посадки гидросамолета ;789a34c3-6744-4ad3-b969-e08bfb38e7ed
H ;ANCH ;an area where vessels may anchor ;место, где суда могут бросить якорь ;anchorage ;якорная стоянка ;845111a1-30ca-49d3-b338-f6bd781e469d
H ;BAY ;a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf ;прибрежная впадина между двумя мысами или мысами, больше, чем бухта, но меньше, чем залив ;bay ;залив ;ecd6593f-efbb-46bf-8faa-36855f8b0fdf
H ;BAYS ;coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf ;прибрежные углубления между двумя мысами или мысами, больше, чем бухта, но меньше, чем залив ;bays ;заливы ;a6386448-f7d2-485b-b8f2-c0454b11da5b
H ;BGHT ;an open body of water forming a slight recession in a coastline ;открытый водоем, образующий небольшое углубление в береговой линии ;bight(s) ;бухта (ы) ;351e620f-dd1d-41fb-a8c4-21a5a06ca6a9
H ;BNK ;an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation ;возвышение, обычно расположенное на шельфе, над которым глубина воды относительно невелика, но достаточна для большей части надводного плавания ;bank(s) ;банки) ;ea7ba90b-722b-4c43-b389-ea18babc7f79
H ;BNKR ;a sloping margin of a stream channel which normally confines the stream to its channel on land ;наклонный край русла ручья, который обычно ограничивает русло ручья на суше ;stream bank ;берег ручья ;38c3b25c-ec42-4dc9-b3ea-0a0d0aab619b
H ;BNKX ;" " ;" " ;section of bank ;отделение банка ;9a0d9e09-5cf5-4647-9ff2-5c520295ec00
H ;BOG ;a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants ;водно-болотное угодье, характеризующееся торфом, образующим сфагновый мох, осоку и другие растения с кислой водой. ;bog(s) ;книга (ы) ;c42c5221-f5ad-460d-863e-b4c4663a35e4
H ;CHN ;the deepest part of a stream, bay, lagoon, or strait, through which the main current flows ;самая глубокая часть ручья, залива, лагуны или пролива, через которую протекает основное течение ;channel ;канал ;1511f627-a8cb-4fb6-b293-ab18fe3fb411
